uid,is_nsfw,has_smile,number_of_faces,has_face
6861100,0,True,1,True
7021948,0,False,1,True
6140498,0,True,1,True
7839356,0,True,1,True
307290033,0,False,0,False
19270729,0,False,1,True
7847440,0,True,1,True
7899253,0,True,1,True
8206382,0,True,1,True
8318736,0,False,1,True
9292910,1,False,0,False
9553386,0,True,1,True
14513973,0,True,1,True
15156921,0,False,1,True
15658301,0,False,0,False
12084150,0,False,1,True
17806568,1,False,1,True
18087211,0,True,1,True
18434159,0,False,1,True
18524087,0,False,0,False
19304339,1,False,1,True
20905268,0,False,1,True
21169547,0,True,1,True
21703586,0,False,0,False
23951831,0,False,1,True
24431406,0,True,1,True
25843499,0,False,0,False
26557829,1,False,1,True
27786747,0,False,1,True
29086819,0,False,0,False
30002121,0,True,1,True
30286422,0,False,1,True
30808322,0,True,1,True
33264324,0,True,1,True
35861302,0,False,1,True
37464432,0,True,1,True
37800138,0,True,1,True
39374300,0,True,1,True
40468345,0,False,0,False
32045053,0,False,1,True
44237762,0,False,1,True
46126577,0,False,1,True
47238828,0,True,1,True
50008637,0,False,0,False
51510076,0,False,1,True
42404712,0,False,1,True
55559255,0,False,0,False
57536247,0,True,1,True
60100486,0,True,1,True
66317573,0,True,1,True
69720743,0,True,1,True
70815134,0,False,0,False
72023596,0,True,1,True
134613226,0,False,0,False
1368576,0,False,1,True
1423414,0,True,1,True
1453985,0,True,1,True
1513984,0,False,0,False
1523550,0,False,0,False
1549865,0,False,1,True
1602431,0,False,1,True
1665081,0,False,0,False
1679969,0,False,0,False
1714713,0,False,0,False
1783935,0,False,1,True
1885376,0,False,1,True
1897565,0,False,1,True
1930652,0,False,1,True
1978392,0,True,1,True
2018250,0,False,0,False
2041323,0,False,1,True
2055224,0,True,1,True
2063549,0,True,1,True
6328122,0,False,1,True
2078261,0,True,1,True
2082652,1,True,1,True
2125969,0,False,1,True
2145090,0,False,1,True
2193795,0,False,1,True
2213913,0,False,1,True
2263027,0,False,1,True
2299797,0,True,1,True
2311298,0,False,0,False
2343108,0,False,1,True
2349182,0,False,0,False
2380222,0,True,1,True
2414044,0,True,1,True
2432446,0,False,1,True
2477013,0,False,2,True
2481171,0,True,1,True
5586645,0,False,2,True
2489641,0,True,1,True
2504840,0,False,1,True
2520518,0,True,1,True
2851733,0,False,0,False
2961190,0,True,1,True
2999756,0,False,0,False
3023377,0,False,1,True
3088229,0,False,1,True
3227180,0,True,1,True
3236834,0,False,2,True
3307373,0,False,1,True
3358938,0,False,0,False
3426969,0,False,0,False
4010389,0,False,0,False
4024772,0,True,1,True
4052719,0,False,3,True
6339990,0,False,1,True
4296875,0,True,1,True
4954404,0,True,1,True
5241697,0,True,1,True
5358926,0,True,1,True
